Ticker,Company,EPS_2014,EPS_2024,EPS_2013,EPS_2023,EPS_2012,EPS_2022,EPS_2015,EPS_2020,EPS_2019,EPS_2018
ADBE,Adobe Inc.,$0.53,$12.36,$0.56,$11.82,$1.66,$10.10,$1.24,$10.83,$6.00,$5.20
AMD,Advanced Micro Devices,$-0.53,$1.00,$-0.11,$0.53,$-1.60,$0.84,$-0.84,$2.06,$0.30,$0.32
ABNB,Airbnb,,$4.11,,$7.24,,$2.79,,$-16.12,$-2.59,$-0.07
GOOGL,Alphabet Inc. (Class A),$1.03,$8.04,$0.94,$5.80,$0.81,$4.56,$1.14,$2.93,$2.46,$2.19
GOOG,Alphabet Inc. (Class C),$1.03,$8.04,$0.94,$5.80,$0.81,$4.56,$1.14,$2.93,$2.46,$2.19
AMZN,Amazon,$-0.03,$5.53,$0.03,$2.90,$-0.01,$-0.27,$0.06,$2.09,$1.15,$1.01
AEP,American Electric Power,$3.34,$5.58,$3.04,$4.24,$2.60,$4.49,$4.17,$4.42,$3.88,$3.90
AMGN,Amgen,$6.70,$7.56,$6.64,$12.49,$5.52,$12.11,$9.06,$12.31,$12.88,$12.62
ADI,Analog Devices,$1.98,$3.28,$2.14,$6.55,$2.13,$5.25,$2.20,$3.28,$3.65,$4.00
AAPL,Apple Inc.,$1.61,$6.08,$1.42,$6.13,$1.58,$6.11,$2.31,$3.28,$2.97,$2.98
AMAT,Applied Materials,$0.87,$8.61,$0.21,$8.11,$0.09,$7.44,$1.12,$3.92,$2.86,$2.96
APP,AppLovin,,$4.53,,$0.98,,$-0.52,,$-0.58,$0.36,
ARM,Arm Holdings,,$0.29,,$0.51,,$0.54,,,,
ASML,ASML Holding,$3.62,$20.82,$3.11,$21.53,$3.45,$14.89,$3.56,$9.69,$6.89,$7.18
AZN,AstraZeneca,$0.49,$2.25,$1.02,$1.91,$2.47,$1.06,$1.12,$1.22,$0.52,$0.85
TEAM,Atlassian,$0.11,$-1.16,$0.07,$-1.90,,$-2.05,$0.04,$-1.43,$-2.67,$-0.49
ADSK,Autodesk,$1.00,$4.19,$1.07,$3.78,$1.22,$2.24,$0.35,$0.96,$-0.37,$-2.58
ADP,Automatic Data Processing,$3.14,$9.10,$2.89,$8.21,$2.82,$7.00,$3.05,$5.70,$5.24,$4.25
AXON,Axon Enterprise,$0.37,$4.80,$0.34,$2.33,$0.27,$2.03,$0.36,$-0.03,$0.01,$0.50
BKR,Baker Hughes,$3.92,$2.98,$2.47,$1.91,$2.97,$-0.61,$0.00,$-14.73,$0.23,$0.45
BIIB,Biogen,$12.37,$11.18,$7.81,$7.97,$5.76,$20.87,$15.34,$24.80,$31.42,$21.58
BKNG,Booking Holdings,$45.67,$172.69,$36.11,$117.40,$27.66,$76.35,$49.45,$1.44,$111.82,$83.26
AVGO,Broadcom,$0.10,$1.23,$0.22,$3.30,$0.23,$2.65,$0.49,$0.63,$0.64,$2.84
CDNS,Cadence Design Systems,$0.52,$3.85,$0.56,$3.82,$1.57,$3.09,$0.81,$2.11,$3.53,$1.23
CDW,CDW Corporation,$1.42,$7.97,$0.84,$8.10,$0.82,$8.13,$2.35,$5.45,$4.99,$4.19
CHTR,Charter Communications,$-1.88,$34.97,$-1.83,$29.99,$-3.37,$30.74,$-2.68,$15.40,$7.45,$5.22
CTAS,Cintas,$0.76,$3.79,$0.63,$3.25,$0.57,$2.91,$0.91,$2.03,$2.00,$1.89
CSCO,Cisco,$1.49,$2.54,$1.86,$3.07,$1.49,$2.82,$1.75,$2.64,$2.61,$0.02
CCEP,Coca-Cola Europacific Partners,$2.63,$3.33,$2.44,$3.93,$2.25,$3.47,$2.54,$1.25,$2.60,$2.20
CTSH,Cognizant,$2.35,$4.51,$2.02,$4.21,$1.72,$4.41,$2.65,$2.57,$3.29,$3.60
CMCSA,Comcast,$1.60,$4.14,$1.28,$3.71,$1.14,$1.21,$1.62,$2.28,$2.83,$2.53
CEG,Constellation Energy,,$11.89,,$5.01,,$-0.49,,$0.00,$0.00,
CPRT,Copart,$0.17,$1.40,$0.17,$1.28,$0.17,$1.13,$0.21,$0.73,$0.62,$0.43
CSGP,CoStar Group,$0.15,$0.34,$0.11,$0.92,$0.04,$0.93,$-0.01,$0.59,$0.86,$0.65
COST,Costco,$4.65,$16.56,$4.63,$14.16,$3.89,$13.14,$5.37,$9.02,$8.26,$7.09
CRWD,CrowdStrike,,$0.37,,$-0.79,,$-1.03,,$-0.96,$-3.12,$-3.38
CSX,CSX Corporation,$0.64,$1.79,$0.61,$1.82,$0.60,$1.92,$0.67,$1.20,$1.39,$1.28
DDOG,Datadog,,$0.52,,$0.14,,$-0.16,,$-0.08,$-0.12,$-0.15
DXCM,DexCom,$-0.08,$1.42,$-0.11,$1.30,$-0.20,$0.82,$-0.18,$1.33,$0.28,$-0.36
FANG,Diamondback Energy,$3.64,$15.53,$1.29,$17.34,$0.00,$24.61,$-8.74,$-28.61,$1.47,$8.06
DASH,DoorDash,,$0.29,,$-1.42,,$-3.68,,$-7.39,$-15.44,$-4.67
EA,Electronic Arts,$0.03,$4.68,$0.31,$2.88,$0.23,$2.76,$2.69,$10.30,$3.33,$3.34
EXC,Exelon,$1.88,$2.45,$2.00,$2.34,$1.42,$2.20,$2.54,$2.01,$3.01,$2.07
FAST,Fastenal,$0.42,$1.00,$0.38,$1.01,$0.36,$0.95,$0.44,$0.75,$0.69,$0.66
