EPS_CAGR,Future_EPS,Future_Price,Sticker_Price,MOS_Price,Company,Ticker,EPS_initial,EPS_latest,Current_price
37.02,288.24,8647.34,2137.49,1068.74,Adobe Inc.,ADBE,$0.53,$12.36,347.8
,,,,,Airbnb,ABNB,,$4.11,128.02
22.81,62.76,1882.77,465.39,232.7,Alphabet Inc. (Class A),GOOGL,$1.03,$8.04,189.13
22.81,62.76,1882.77,465.39,232.7,Alphabet Inc. (Class C),GOOG,$1.03,$8.04,189.95
5.27,9.32,279.67,69.13,34.56,American Electric Power,AEP,$3.34,$5.58,113.58
1.21,8.53,255.91,63.26,31.63,Amgen,AMGN,$6.70,$7.56,296.88
5.18,5.43,163.01,40.29,20.15,Analog Devices,ADI,$1.98,$3.28,221.71
14.21,22.96,688.81,170.26,85.13,Apple Inc.,AAPL,$1.61,$6.08,202.38
25.76,85.21,2556.28,631.87,315.94,Applied Materials,AMAT,$0.87,$8.61,179.99
,,,,,AppLovin,APP,,$4.53,379.17
,,,,,Arm Holdings,ARM,,$0.29,137.58
19.12,119.74,3592.31,887.96,443.98,ASML Holding,ASML,$3.62,$20.82,689.82
16.47,10.33,309.95,76.61,38.31,AstraZeneca,AZN,$0.49,$2.25,73.95
15.4,17.56,526.68,130.19,65.09,Autodesk,ADSK,$1.00,$4.19,297.02
11.23,26.37,791.18,195.57,97.78,Automatic Data Processing,ADP,$3.14,$9.10,300.44
29.21,62.27,1868.11,461.77,230.88,Axon Enterprise,AXON,$0.37,$4.80,742.47
-2.7,2.27,67.96,16.8,8.4,Baker Hughes,BKR,$3.92,$2.98,43.51
-1.01,10.1,303.13,74.93,37.47,Biogen,BIIB,$12.37,$11.18,131.95
14.23,652.99,19589.56,4842.24,2421.12,Booking Holdings,BKNG,$45.67,$172.69,5386.29
28.53,15.13,453.87,112.19,56.09,Broadcom,AVGO,$0.10,$1.23,288.64
22.16,28.5,855.14,211.38,105.69,Cadence Design Systems,CDNS,$0.52,$3.85,356.97
18.83,44.73,1341.99,331.72,165.86,CDW Corporation,CDW,$1.42,$7.97,168.86
17.43,18.9,567.0,140.15,70.08,Cintas,CTAS,$0.76,$3.79,221.5
5.48,4.33,129.9,32.11,16.05,Cisco,CSCO,$1.49,$2.54,67.11
2.39,4.22,126.49,31.27,15.63,Coca-Cola Europacific Partners,CCEP,$2.63,$3.33,97.27
6.74,8.66,259.66,64.18,32.09,Cognizant,CTSH,$2.35,$4.51,70.59
9.97,10.71,321.37,79.44,39.72,Comcast,CMCSA,$1.60,$4.14,32.52
,,,,,Constellation Energy,CEG,,$11.89,340.77
23.47,11.53,345.88,85.5,42.75,Copart,CPRT,$0.17,$1.40,45.51
8.53,0.77,23.12,5.71,2.86,CoStar Group,CSGP,$0.15,$0.34,94.6
13.54,58.97,1769.25,437.33,218.67,Costco,COST,$4.65,$16.56,952.52
,,,,,CrowdStrike,CRWD,,$0.37,446.66
10.83,5.01,150.19,37.13,18.56,CSX Corporation,CSX,$0.64,$1.79,35.01
,,,,,Datadog,DDOG,,$0.52,135.6
15.61,66.26,1987.75,491.34,245.67,Diamondback Energy,FANG,$3.64,$15.53,146.14
,,,,,DoorDash,DASH,,$0.29,248.35
65.7,730.08,21902.4,5413.94,2706.97,Electronic Arts,EA,$0.03,$4.68,157.08
2.68,3.19,95.78,23.68,11.84,Exelon,EXC,$1.88,$2.45,44.67
9.06,2.38,71.43,17.66,8.83,Fastenal,FAST,$0.42,$1.00,45.44
54.06,170.25,5107.6,1262.52,631.26,Fortinet,FTNT,$0.03,$2.26,97.36
,,,,,GE HealthCare,GEHC,,$4.34,69.85
-25.64,0.02,0.59,0.15,0.07,Gilead Sciences,GILD,$7.35,$0.38,113.18
5.03,14.23,427.0,105.55,52.77,Honeywell,HON,$5.33,$8.71,217.71
19.54,63.6,1908.08,471.65,235.82,Idexx Laboratories,IDXX,$1.79,$10.67,535.54
12.83,34.87,1046.01,258.56,129.28,Intuit,INTU,$3.12,$10.43,776.15
17.97,33.51,1005.28,248.49,124.24,Intuitive Surgical,ISRG,$1.23,$6.42,483.12
-11.49,0.31,9.29,2.3,1.15,Keurig Dr Pepper,KDP,$3.56,$1.05,33.32
