EPS_CAGR,Future_EPS,Future_Price,Sticker_Price,MOS_Price,Company,Ticker,EPS_initial,EPS_latest,Current_price
37.02,288.24,8647.34,2137.49,1068.74,Adobe Inc.,ADBE,$0.53,$12.36,347.8
22.81,62.76,1882.77,465.39,232.7,Alphabet Inc. (Class A),GOOGL,$1.03,$8.04,189.13
22.81,62.76,1882.77,465.39,232.7,Alphabet Inc. (Class C),GOOG,$1.03,$8.04,189.95
25.76,85.21,2556.28,631.87,315.94,Applied Materials,AMAT,$0.87,$8.61,179.99
18.83,44.73,1341.99,331.72,165.86,CDW Corporation,CDW,$1.42,$7.97,168.86
9.97,10.71,321.37,79.44,39.72,Comcast,CMCSA,$1.60,$4.14,32.52
23.47,11.53,345.88,85.5,42.75,Copart,CPRT,$0.17,$1.40,45.51
15.61,66.26,1987.75,491.34,245.67,Diamondback Energy,FANG,$3.64,$15.53,146.14
65.7,730.08,21902.4,5413.94,2706.97,Electronic Arts,EA,$0.03,$4.68,157.08
54.06,170.25,5107.6,1262.52,631.26,Fortinet,FTNT,$0.03,$2.26,97.36
23.2,23.36,700.83,173.24,86.62,Lam Research,LRCX,$0.36,$2.90,96.37
20.37,77.93,2337.8,577.87,288.93,Lululemon,LULU,$1.91,$12.20,193.33
36.9,871.49,26144.84,6462.6,3231.3,Mercado Libre,MELI,$1.63,$37.69,2375.92
36.03,517.55,15526.35,3837.88,1918.94,Meta Platforms,META,$1.10,$23.86,750.01
41.41,634.24,19027.2,4703.23,2351.62,"Netflix, Inc.",NFLX,$0.62,$19.83,1158.6
50.47,70.81,2124.15,525.06,262.53,Nvidia,NVDA,$0.02,$1.19,173.72
23.78,30.64,919.32,227.24,113.62,Onsemi,ON,$0.43,$3.63,56.82
11.97,24.47,734.24,181.49,90.75,Paccar,PCAR,$2.55,$7.90,96.48
27.92,46.82,1404.71,347.22,173.61,PayPal,PYPL,$0.34,$3.99,67.11
29.11,493.27,14798.21,3657.89,1828.95,Regeneron Pharmaceuticals,REGN,$2.98,$38.34,558.87
41.51,311.05,9331.56,2306.62,1153.31,T-Mobile US,TMUS,$0.30,$9.66,237.2
